Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,PoolQC,SaleType,SaleCondition,SalePrice,month+year,totalbath,Totalsqft,Age,YearsSinceRemodel,IsNewHouse
1,60,RL,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,GasA,Ex,Y,SBrkr,1710,Gd,8,Typ,0,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,,WD,Normal,208500,2.2008,3.5,2566.0,5,5,True
2,20,RL,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,GasA,Ex,Y,SBrkr,1262,TA,6,Typ,1,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,,WD,Normal,181500,5.2007,2.6,2524.0,31,31,False
3,60,RL,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,GasA,Ex,Y,SBrkr,1786,Gd,6,Typ,1,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,,WD,Normal,223500,9.2008,3.5,2706.0,7,6,False
4,70,RL,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,GasA,Gd,Y,SBrkr,1717,Gd,7,Typ,1,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,,WD,Abnorml,140000,2.2006,2.0,2473.0,91,36,False
5,60,RL,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,GasA,Ex,Y,SBrkr,2198,Gd,9,Typ,1,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,,WD,Normal,250000,12.2008,3.5,3343.0,8,8,False
6,50,RL,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,GasA,Ex,Y,SBrkr,1362,TA,5,Typ,0,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,,WD,Normal,143000,10.2009,2.5,2158.0,16,14,False
7,20,RL,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,GasA,Ex,Y,SBrkr,1694,Gd,7,Typ,1,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,,WD,Normal,307000,8.2007,3.0,3380.0,3,2,True
8,60,RL,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,GasA,Ex,Y,SBrkr,2090,TA,7,Typ,2,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,,WD,Normal,200000,11.2009,3.5,3197.0,36,36,False
9,50,RM,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,GasA,Gd,Y,FuseF,1774,TA,8,Min1,2,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,,WD,Abnorml,129900,4.2008,2.0,2726.0,77,58,False
10,190,RL,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,GasA,Ex,Y,SBrkr,1077,TA,5,Typ,2,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,,WD,Normal,118000,1.2008,2.0,2068.0,69,58,False
